protein1	protein2
VAPA	TOMM40
B4GALT1	JUP
SRPK2	CAND1
PRKDC	DHX38
DNM2	SDCBP
VCAM1	HBA2
UBE2I	PPARGC1A
SIVA1	ABL2
TGFBR1	SMAD2
UBE2W	DNMT3B
DDB1	STAT1
SPRY2	FRS3
RBFOX2	HOXA5
CDK5	HSP90AB1
VCAM1	RAP1B
RPS6KA5	NR3C1
PSEN1	TGFBR1
FBXW11	WDR12
CCND3	ETV1
RELA	CCND1
RBM5	RIF1
AGO3	PHB2
GRB2	CASP2
FOXP2	FOXP4
MED1	MED4
CDC42EP4	SEPTIN11
MAPRE1	IKBKE
APOA1	FN1
OS9	CREB3
ATXN7	LAMB1
CUL3	SMC3
FBXO6	PSMC5
ENAH	SPTA1
STAT1	IRAK1
SRC	STAT6
KATNA1	RTEL1
GRK2	ACACA
GRB2	HIST1H4H
CCDC88A	ANXA7
HESX1	NCOR2
CDKN1B	CDK4
CDK5	PTPN2
P2RX4	SPTLC2
MAD2L2	FZR1
EGFR	UBE2G2
CLU	ZWINT
IKBKG	TBC1D7
INTS7	INTS8
TSC2	PTK2
PSIP1	THRAP3
CALM1	PTAFR
PABPC1	HNRNPF
TP53	EGR1
BIRC5	CASP3
ZDHHC17	SLC1A3
CTBP1	PIAS2
ACVRL1	TGFB1
HSPA1A	MYH9
XAB2	TRA2B
ATP5F1A	ATP5IF1
DLG1	KIF1B
MED17	BARD1
CLIC4	REL
VDAC3	ATP5F1C
SKIL	TRIM33
TRRAP	CUL1
SYNCRIP	RPS6
EIF4A3	SMAD4
APP	MYC
HDAC6	HSP90AA1
ADCY5	PDE5A
NOTCH1	RBBP4
TSG101	HGS
CALCOCO2	HLX
DISC1	CARD9
CLN3	HSD17B12
LSM1	GLUD1
CDK2AP1	PICK1
PTCH1	B4GALT1
DDIT4	RIF1
WAC	TLN1
MCM2	DYNC1H1
FRS2	NTRK2
PTPN22	SPTA1
GRB2	DYNC1H1
RPS27L	RPS3
DAXX	HIST1H4C
CDH1	VCL
NCK2	TNIK
E2F4	AR
RNF2	CBX8
CREB1	HDAC2
CD274	ATM
UBE2A	UBE2A
MAPK14	ACTN4
MIF	PINX1
KMT5B	KMT5B
VHL	RB1CC1
FBXW7	PPP1CB
CPSF6	CAPRIN1
FBXW11	CLTC
MYH9	RIPK2
TOMM20	TOMM40
EHMT2	RING1
ACD	NCDN
RPA2	PNKP
ETF1	EIF2S2
ATXN7	PSMC5
RB1	RAF1
CTNNB1	KAT2B
INSIG2	HSPA1A
ATXN1	RNF31
PPP1CC	RBMX
RAC1	EEA1
MAVS	STAT1
BCL10	SOCS3
PIK3R1	HRAS
TRA2B	SRSF9
YWHAG	CLK3
PLCG1	SRC
PAK1	H2AFX
ARNT	RBX1
STAG2	SMC3
HES1	PRKCI
TLE5	ZIC1
ZC3HAV1	APP
ARRB2	CDK4
ARRB2	MAPK1
STX2	SERP1
RAD50	NCL
U2AF2	RPS3A
RAD23A	GCC2
ATP5F1C	VDAC1
CDK2	ALDH5A1
MCM2	HDAC6
STX2	STX16
HSPA8	PTPRB
HSPB1	SP1
GRB2	RPS3A
SIRT7	PRKDC
ILK	GLUD1
VHL	CNTF
MOV10	AGRN
