protein1	protein2
EXOSC5	PSIP1
PSMC3	PHB2
MSH2	BLM
HNRNPF	DZIP3
FERMT3	APP
TLR9	TBK1
HSPB1	TRIM54
KCNE1	UBASH3A
INO80	ACTN4
ANXA6	RPS13
PTPRG	PXN
LIN7C	APBA1
CRYAB	PLCG2
GRB2	SMARCD1
SS18L1	SS18L1
IKBKG	HSPA4
FBXO6	HNRNPA1
LIG4	ATP6V0D1
TRIM21	RBCK1
EP300	CDK1
MMP9	MMP10
HOXA5	SMAD1
SNX1	SNX1
RPA1	RPS6KA5
ELN	MMP7
SDCBP	UBE2R2
XPO1	CDC27
HDAC7	UBE2I
VAV2	CBLB
EMD	OXA1L
FN1	CKAP5
HSPA4	HOPX
CELF1	CELF1
PSMC3	MAVS
DLD	SIAH2
LGR4	HNRNPU
HSPA8	BCR
ELAVL1	PPP3CB
CUL3	SMARCB1
DNAJC7	HSPA1A
SRPK1	SRSF6
WASF2	BAIAP2
RBBP4	HDAC2
ELAVL1	SLC38A2
SQSTM1	CUL1
CEP250	PRPF19
TP53	PTTG1IP
MCM2	DNAJC10
PPIA	RAD23B
SSH1	DSTN
JUN	GOPC
BRPF3	GRB2
RPA1	MOV10
CUTC	CUTC
XPO1	LPIN1
SRC	TNK2
RPA2	THOC1
MAP3K3	VIM
SUPT5H	SSBP3
SMAD3	AXIN2
SRPK1	FGF12
SNCAIP	PSMC4
MAPK15	CLIC3
BAHD1	ZRANB1
POLA2	POLE4
UBE2L3	TRAF7
UCHL5	HIST1H4I
COPS5	NCL
HSPA9	HSPH1
ETV5	UBE2E3
ELAVL1	SF3B1
TSG101	ACTN4
NDEL1	YWHAE
RAB11A	YWHAG
BRAF	BAD
SLU7	PPM1G
SYNCRIP	DHX38
PLEK	ACVR1
CASP9	BCL10
AGO4	RPS3A
RAC1	ARHGAP33
VHL	PSMC3
IQCB1	PSMA2
XRCC6	JUP
BIRC5	PRKDC
DVL3	PPM1A
CD81	PABPC1
ARRB2	MAP2K1
UBQLN1	APP
CPSF6	ERCC3
SHC1	GHR
RAP1B	CDC42
HSP90AA1	PIH1D1
PDPK1	XPO7
MAPK3	UBTF
CUL3	ATP5F1A
TADA2A	TRA2B
OPRM1	PLD2
GLI3	SMAD3
PPP1CC	LMTK2
CUL4A	SLC25A22
MYC	GSK3B
APOE	SRF
EEF1D	SQSTM1
CAND1	HIST1H4I
BIRC6	CASP3
NR1D1	NR1D1
MYLK	MAPK13
SRC	CKAP5
TOPORS	HNRNPA1
RPS3A	PHF5A
ELAVL1	TGFB3
AGO4	YBX1
CAND1	HNRNPAB
KPNB1	SMPD4
VCP	PSAP
MLH1	NLRP2
CETN2	PRKACA
HUWE1	CALR
ALG2	SHISA5
TBK1	TMEM173
PIH1D1	PPP1CA
NUDT21	HDAC1
NR1I2	NCOA3
HDAC3	SMARCD1
ATP5F1A	RPS3
KLF5	TP53
RPA1	HNRNPA1
NUDT21	SRSF9
CALCOCO2	PEF1
HDAC1	RBPJ
RBPJ	RING1
INSR	RAF1
TNFRSF1B	AIFM1
UBE2L3	RBCK1
PXN	WHRN
CUL3	SF1
PPP1CB	RACGAP1
PPP1CB	SIRT2
PIP4K2B	SKP1
NAB2	PIK3R3
ARAF	SLC25A22
CD81	CD9
TCF3	HAND2
IDH1	IDH1
PRKDC	YBX1
ELAVL1	SKP1
SMURF1	DHX9
EGFR	UBE2V2
PFKM	PFKM
PPP2R1A	SGO1
CUL3	PES1
LMNA	HNRNPA1
BRD8	PPARG
CSNK1E	CSNK1D
CREBBP	TP73
USP2	MNAT1
CAND1	HIST1H4E
RIF1	TSPAN6
SNX6	INSR
LMTK2	PPP1CA
HNRNPH1	HNRNPAB
DVL1	BAG3
IRF1	HSP90AA1
MBD2	DHX9
YEATS2	TADA3
STMN1	SESTD1
SMAD2	SRI
AKT1	PPM1A
HDAC2	SMARCD1
HSPA1A	SHC1
CDK1	ESCO1
AR	SVIL
HSPA1A	ARRB2
NCAPG2	ACTN4
RELA	PPP1R13L
TRAF2	APPL1
TOPORS	SUMO1
MAPRE1	DCTN2
MAP3K5	APP
KIF11	HDAC3
UBTF	UBTF
GNAS	GIPC1
TRA2B	TRA2B
SMUG1	PEF1
CUL1	ARIH1
TGFBR2	PTPRS
HSPA1A	PSMC2
PKN1	HAUS1
COPS5	SHISA5
ADAM17	TNFRSF1A
FAF1	PPP2R5C
SMAD2	TGIF1
SMAD7	TGFB1I1
ATXN1	NUDT21
NLRC4	BCL10
RAB7A	SOAT1
PLCG1	TPM2
FURIN	PDGFA
NFKB1	EP300
MAPK14	GRB2
MAP3K7	SKIL
ATG4C	PRKDC
PTK2	JAK2
ITGA6	CD9
COTL1	CFL1
SMAD4	CD59
VCAM1	EEF1G
DHX9	SRSF6
PGD	H6PD
DBN1	PICALM
DIAPH1	CDK1
CISH	PRKCA
SIRT2	FADS1
RAD23A	TRAF2
NLRP2	BRCA1
SP3	HDAC2
UBE2I	RNF40
HSPA9	TP53
MYC	SMARCA4
HSPB1	TTC3
HDAC11	DNAJB2
SMARCC1	TOP2B
HSP90AB1	PSMB5
TNFRSF14	TRAF3
PRKCD	EP300
HSPD1	RASA1
ILK	CTSD
SRRT	RING1
NUDT21	HSF4
NEDD4	CSNK1D
MCM2	GSTP1
CDK1	RACGAP1
LYN	E2F6
TNFRSF12A	TRAF2
RUVBL1	IKBKE
EIF2B3	NMT1
SMAD3	CHUK
ILK	RUVBL2
NAA15	STAT1
IL16	RNF144B
WDR77	CCND1
SSBP1	ALDH5A1
HUWE1	ATR
BAG1	ECPAS
CAND1	RBX1
PPP2CB	INTS4
VCP	WDR82
BRAF	HSPA1A
HSPA4	CAND1
UBE2D3	RNF130
CHMP1A	VPS4B
ARAP1	TNFRSF10B
HSPB1	UBE2N
COX15	NDUFS4
GRB2	ENO1
WWOX	MPP5
RCOR1	SIN3A
TOMM22	TOMM20
YWHAB	CLASP2
MEN1	TCF3
PPP3CA	PFDN5
NPM1	MAP3K14
RRAS2	ACVR1
RBCK1	APP
ALOX5AP	ALOX5AP
FN1	CIRBP
ARRB1	MAPK9
HSPB1	NFKBIA
CIRBP	GTF2F1
RNF2	SMARCA4
CD81	RPS6
OBSL1	ANXA1
RUVBL2	NFKB2
DNMT3A	RB1
JUN	TPM1
USP20	HERC2
RPS6KB2	KRT1
BIRC5	BECN1
PRKCI	SLX4
TAL1	SSBP1
EFNB2	NF1
WDR5	TADA3
IRS1	PTPRF
VCP	SMARCC1
LRP5	THBS1
APP	BGN
MAP2K3	MAPK8IP3
AKT1	CBY1
PPIA	ANXA1
PIK3CB	PIK3CB
TAF5L	TAF12
HSPA4	PRKCB
CDC27	CTNNB1
MAP3K10	SH3RF1
CDK2	POLL
RCC1	DIS3
PTPN14	DDB1
ELAVL1	ALDH1A3
EGFR	CTNNB1
SIN3A	OGT
DVL3	RBM15B
SAP130	SF3B1
SLX4	SUMO3
MYBBP1A	RRS1
KMT5B	HIST1H4A
BCL2L1	AVEN
PSME1	VIM
ACTG1	CDC37
EGFR	BAIAP2
RPA1	MCM6
HCLS1	FGR
PRKCI	FSCN1
NPM1	FLNA
CBX8	BAZ2A
UBE2D1	AMFR
CALM1	RYR2
SEM1	DDX39B
PCNA	REV1
HDAC5	NFKB2
POMC	MC5R
MAPK8IP2	HSPA1A
DDB1	BRAP
CUL1	ACTA1
UBE2K	MID1
SMC4	IKBKE
ITGB1	ACTN4
HUWE1	EEF1E1
USP7	MCM4
CDK7	CDK7
TUBB	HNRNPA1
TUBG1	DNAJB1
THOC3	RBM8A
DCXR	TRAF6
NEDD4	STK4
MAPK1	RNF8
H2AFX	PCBP2
NFKB2	IKBKE
TERF2	HSPH1
VIM	PSIP1
MAD2L1	TNFRSF1B
KPNB1	SUMO1
CARM1	AXIN1
ANXA2	IKBKE
MEIS1	SUMO3
FABP5	TRAF6
NFE2L2	MAP2K1
DDB2	EZH2
HSPD1	SEPTIN9
EZH2	HSPA1A
YOD1	SYVN1
ITM2B	CACNA2D1
NDRG1	PPP2R2A
WASF2	CDC42
NLK	SKP2
CDC27	ANAPC11
EGFR	SOCS3
SET	TRAF6
SH3GLB1	SH3GLB1
SNAI1	HDAC2
YAP1	RAPGEF2
THOC2	GNPTAB
ELP1	USP9X
AR	SIAH2
FOXQ1	RBBP5
SNRNP200	RPS6
AXIN1	JUP
YBX1	RPS13
PTK2B	ALG2
DHCR24	TP53
ANXA1	LNPK
STRAP	LSM10
STMN1	CDKN1B
SVIL	KIFC3
WBP4	SF3A1
CAP1	PSME2
U2AF2	DHX38
SPRY1	STAT3
HUWE1	XPO1
MAPK13	GFM1
RYBP	ATF7IP
TAB2	EIF2AK2
ATP5F1E	ATP5ME
VAPA	NDUFS4
HERC2	ZFYVE9
SETD7	PPP1R12A
SP1	DDX5
AKT1	NCOR2
PRMT5	SRSF10
CCNB1	FOXM1
YEATS2	UBAP2L
FBXW7	KLF5
CDK2AP1	HDAC2
RBM25	SEPTIN7
HNRNPA1	WDR83
PTPRK	SCARB1
TAF2	TAF4
CD40	CHUK
PDPK1	PRKCE
KDM3A	MRTFB
ATXN7	TRIM54
BMI1	XRN1
OGT	YES1
PSMA2	CUL1
SSBP3	APP
YWHAG	NUMBL
NR3C1	RAF1
CSNK2A1	BID
HSPA8	IKBKE
RAB14	APP
EED	DSTN
CPSF6	STRN
YAP1	STK3
CDC42	PRDX1
FBXW11	AXIN1
SHARPIN	PTEN
CTNNB1	CREBBP
FRS3	NTRK2
CDC16	CREBBP
RCAN1	BTRC
HDAC7	YWHAE
SHC1	SYK
MLH1	PSD3
SYNCRIP	RBM8A
CIRBP	SNRPC
RALA	CALM3
UBE2H	POLL
ITCH	NOTCH1
CHFR	PCNA
PRKCE	HSP90AB1
RBPMS	ANAPC11
TP63	UBASH3A
SLC9A3R1	SLC9A3R1
EPS15	HSPA5
GOLT1B	ATP5PF
PIK3R2	KRT1
DDX1	TPR
MAPRE1	EPS15
HSPA1A	TNFRSF1A
SUPT3H	SUPT7L
UBE3A	POLE4
MOV10	EIF4A3
USP15	USP33
NCL	RPS19
PTPN1	ATP6V0D1
RB1CC1	ATG101
RACK1	IL4R
MOV10	PRKACA
RPA2	XRCC6
BTRC	TFAP4
SEMA7A	SEMA7A
SKI	AGRN
SAP130	CUL1
EGFR	CEBPB
LIMA1	SPTBN1
SF3B1	NPM1
RPA2	RUVBL2
STAT6	RLIM
RAD17	RFC3
HIPK2	SIAH1
MINK1	YWHAB
PPP1CA	PPP2R5C
BIRC2	IPO13
ARRB1	POU2F1
APLP2	PRNP
MAPK8	PIAS2
FIS1	TOMM40
BAD	CDK1
XPO1	CC2D1A
HUWE1	USP15
PTPN14	PPP2R2A
CAT	PEX5
PSMC2	UBQLN1
CEP250	MOV10
PEG10	USP9X
FOS	BAG6
TCF3	CALM3
FN1	CDK1
TNIK	OTUB1
BBS1	EIF3A
MCM2	UBE2L3
SRPK1	VDR
CREB1	CCL5
CTNND1	SRC
CUL1	PTBP1
LIMA1	TMOD1
CSNK1D	USP16
SETD7	SETD7
PDGFRB	PTPN11
ACADM	VDAC1
HNRNPM	SMARCA5
FBXO6	H6PD
CTNNB1	SP1
ANXA6	RPS3A
PRKACG	VTN
TRAF6	RUNX1
SMAD4	SQSTM1
MDM2	MYCN
HNRNPU	RHOB
ING4	EGLN1
ELAVL1	CSRNP1
TERF1	MTOR
USP12	NOTCH1
SMAD1	RUNX1
TNFSF10	CASP8
RPA1	RAB11B
SUZ12	CPSF6
WWC1	YWHAE
CUL1	KRT10
KRT10	PRKCZ
ASPH	DEFB1
SENP1	SUMO2
WWOX	SF3B1
MEF2D	CASP7
HUWE1	KPNA2
BAIAP2	WASL
MAPK8	BCAR1
YWHAB	RACGAP1
UCHL5	CAP1
PCNA	PCNA
VCP	SYVN1
FN1	HSPA9
EMD	RUVBL1
HDAC9	NUP214
SMARCA4	KPNA2
H2AFX	H2AFX
RABGAP1L	RB1
RAD23A	UBE2N
LIMA1	EPS15
IRS1	IKBKE
DDX5	PHLDA3
TBC1D15	RAB5C
GLUD2	GLUD1
HDAC1	KDM1A
PKN1	TUBB
PPP6C	CSNK1D
HSPB1	RYBP
RBM22	DHX38
YWHAE	EEF1G
EXOSC10	EXOSC10
TP53BP2	UBASH3A
IRS1	MAPK13
PAXIP1	PPIA
MCL1	MAPK3
CDKN1B	YES1
RAF1	LCK
ATM	USP34
TNFRSF1A	UBQLN1
TAF9	APP
FBXW7	MED12
FBXW11	TRIM21
CUX1	ATR
DISC1	MACF1
TERF2IP	RASA1
SRPK2	SGPL1
FBXL12	CAPN2
TNFSF10	CFLAR
TRAP1	TGFBR2
REL	MORF4L1
SLBP	USP8
PNPT1	PTBP1
MMP3	CLU
NEDD4L	PRKACA
TNFRSF1A	HIST1H4H
PKN1	PPM1G
ELK3	TCF3
TGFB1	LAMC1
PRKD2	SSH1
CTDSP2	SNAI1
CDKN1A	FGB
SDHAF2	SUMO2
SEM1	UBE2G2
WASL	HSP90AA1
NDUFA13	NDUFS2
SMAD2	MKS1
PAFAH1B1	DYNC1H1
ATM	HUWE1
EP300	TRAF2
CEBPB	STAT6
RNF2	TP53
LATS1	LIMD1
HNRNPM	NFKB2
ID2	HSPA9
SF1	SART1
SP1	RBBP4
CEP250	YWHAH
RING1	TFDP1
CUL3	UBAP2L
PSME2	APP
SRC	YWHAH
MDM2	MAP4K4
KRT2	SMAD3
HTT	DNAJA1
KDM4C	HDAC3
PRKRA	SETDB1
RCHY1	UBE2D2
HUS1	MSH6
PPM1G	TRAF6
LGALS1	ANXA2
DLG4	YES1
PRKCZ	PTEN
PRKCE	TRPV1
DSP	VTN
APOA1	RXRA
BCL2L1	TP53BP2
DDX5	UPF1
SMAD2	ANAPC2
CHUK	SKP1
LIMA1	RAP1A
ICAM1	RELA
EXOSC4	MED17
CDC42	ARHGEF11
CEP250	IGF2BP1
VCP	ITGB1
PTEN	HNRNPU
ID2	HSPA1A
THOC2	USP7
CPSF2	RBBP4
GRB2	PRKAR1A
YEATS2	MBIP
KDM1A	RBBP4
PFDN5	IKBKE
ARAF	HSP90B1
BCOR	SKP1
PAXIP1	BABAM2
USP7	GTF2I
PPP1CC	SKP1
HMOX2	PLXNB2
CTNNB1	TBL1XR1
CUL4A	KRT10
WNT3A	TRAF2
ANXA1	SRC
HLA-DMA	CD74
VAPA	NDUFA6
PRKCE	VIM
PRKACA	USP20
SMAD3	FOS
EGFR	TNFRSF10B
TXN	UBE2K
KPNB1	SP110
MDM2	UBE2E2
COMMD1	NFKBIA
ILK	AKT1
SHC1	CLTC
TNFRSF14	TRAF2
MAPK14	PPM1G
INSR	GRB2
THBS3	THBS4
ATXN7L3	TRRAP
RYK	CYFIP1
MAPK13	HTRA2
ARAF	CLOCK
EPAS1	STUB1
PIK3CA	DPY30
EGFR	ATP5MG
OS9	PLOD2
HLTF	UBE2A
HUWE1	RBBP4
HSP90AB1	RPS27L
BNIP3L	BNIP3L
XIAP	STUB1
TXNRD1	APEX1
BAG6	VCP
AR	NCOR2
EED	ADNP
GRB2	BABAM2
DDX5	PRKCD
BAG3	RAB7A
RAB14	VHL
ADORA2A	ADORA2A
STAT3	PML
MTOR	DDB1
HDAC3	RB1
ELOVL1	HSD17B12
SP1	ELF1
FAF1	CDT1
RET	CBLC
SMAD2	IRF3
SMC4	NCAPG2
HERC2	RAB5A
DHX9	EMD
EPAS1	EIF3E
GCLM	TNFRSF14
DHX9	TFE3
TRIM23	ZBTB16
OS9	EIF6
KIFC3	MED4
SOCS1	RBX1
KDM4C	KDM4C
TOP2B	TOP2B
ADD1	TPM4
ATM	CSNK1D
HSPA9	RACK1
RNF2	RPS3A
ZDHHC17	STK25
MYC	ARHGEF2
COPS5	DDX1
AKT1	VCP
COL17A1	COL17A1
CTNNA1	VCL
RIPK2	PHB2
APP	TNFRSF21
CEP57	MCM7
MCC	MAP3K3
THBS3	PEX1
USP21	UPF3B
TCF4	PSMG2
NOTCH1	ROCK1
HDAC5	TBL1X
OTUB2	RBCK1
DVL2	CSNK2A1
REL	THOC1
CENPJ	YWHAE
RPS3	EIF2A
CALM1	DDX5
PICK1	CDC73
EGFR	RFC3
PARP1	MED17
MYLK	PAK2
FZD5	LRP6
STRAP	IKBKE
CHORDC1	NSRP1
HDAC6	HDAC11
FYN	PIK3R1
CDK6	MYC
EIF4A3	CRNKL1
STUB1	NQO1
PDPK1	PRKACA
HDAC5	MCM2
SMURF1	CCDC88A
HGS	ITCH
EGFR	ITGA5
MAP3K3	MAP2K4
CALCOCO2	TENT2
SRC	CBLL1
CRYAB	STAT3
PALB2	BRCA2
AGER	NRP1
CXXC1	RBBP5
SMAD1	DROSHA
CDK4	SMAD2
TP53	SOCS1
ACIN1	LGMN
BRCA1	TP53
UCHL5	KDM1A
CUL3	CSTB
TSC1	EZR
MAPK8IP3	TLR2
FLT1	VEGFB
JUND	MAPK8
BAG3	SENP1
CARD10	CARD10
FOXA3	SMPD4
IRS1	SOCS1
FHL2	EP300
SIAH1	EEF1D
RACK1	DDX5
CUL1	HSP90AA1
CLP1	TSEN54
SQSTM1	RPS6KB1
IL2RA	STAT3
ATR	MTA2
CEP57	SSBP1
WDR83	PCBP2
NTRK2	PIK3R1
MDM2	TPT1
MAPK3	TGIF1
NASP	RBBP4
YKT6	GOT1
MAP3K3	VWF
PEX2	CTR9
OVCA2	PTPN11
BMI1	SNW1
ABCA1	PRKACA
CASP3	BECN1
AGO2	RBM4
SIRT1	PSME3
ELP1	MYLK2
TERF1	RECQL4
HSF1	XRCC5
CUL1	PURA
ENO1	MYO6
MOV10	TOMM20
PHB	HDAC1
NUDT21	DHX38
CRHR2	UCN2
MAP3K5	TPD52L1
PRKCB	C5AR1
CREBBP	HIST4H4
SNW1	THOC2
HDAC5	HIST1H4D
PSMD14	HSPA8
UBE2I	STAT1
SERPINH1	BRCA2
EPC1	ACTL6A
KAT2A	MAPK8IP3
HDAC11	MYCBP2
LGALS3	BAG6
ATM	BAG6
STX1A	VIM
HMOX2	NDUFS2
OBSL1	CHD1
RPS6KB2	BRAF
ALDH8A1	ALDH5A1
DNM2	PTPN13
SIRT7	CUL4B
CREBBP	WDR5
HNRNPU	CACNA2D1
MAP3K11	IKBKB
TRAF3	CDC37
GTPBP4	PABPC1
MYC	RUVBL2
MSN	FABP5
GNAI2	SLC39A6
FZD1	DERL2
DNAJA1	HERC2
DYNC1LI1	EIF3E
RNF2	SART1
RUVBL1	CTNNB1
PML	EIF4E
NFKBIA	SRC
AMOT	XPR1
SLU7	U2AF2
PSMC3	GTF2F1
EGFR	FN1
GRB2	NCOR1
DKK3	IRAK1
BRAF	NSD2
NQO1	HSPA1A
KAT2A	TAF7
HSPA8	SAMM50
HSPA9	POFUT1
CDK2	JUN
ILK	ATP5ME
WDR83	EIF4A3
SCYL2	CLTC
MCM2	ALDOA
FBXW11	USP47
PNP	PNP
DBN1	IKBKG
MYC	LONP1
DBNL	OGT
APC	CTNNB1
VCAM1	DNM2
ERCC4	SUMO3
SMARCA5	SMC1A
REL	CCNE1
DLL1	NOTCH2
RRAS2	TRAF3
TRIM23	PPIL2
RARB	PPARGC1A
NSF	RAP2A
PRKCZ	RPS6KB2
TRIB1	MAP2K4
DHX38	RBBP5
BAG6	BAIAP2L1
SMURF2	SMAD4
RAC1	VWF
OXSR1	MAD2L1
MAP2K1	CDK1
UBE2V2	UBE2N
PPP1CB	MYO1E
KAT2A	NOTCH1
CCNB1	CCNB2
INTS5	NAIF1
HSPA2	PSMA2
POT1	HMOX1
EGFL7	NOTCH1
DDX1	LSM14A
TAF1	FOS
BTRC	MAP2K1
GRIK2	PRKACG
EED	CRNKL1
HNRNPA1	MKNK1
BRCA1	SNRNP200
SNCG	MAPK1
XPC	RAD23B
TAF6	SMARCA5
KIF13B	PPP1CA
SMAD9	CLPB
FBXL12	GSTP1
NCOA3	MRTFB
UCHL5	ACTN4
ACE2	CAT
RCHY1	RCHY1
NF2	PXN
AR	GTF2F1
DNAJC7	PRKDC
CUL1	KRT9
INSIG1	VCP
PIN1	CDK1
ILK	RCN1
NOTCH1	MAU2
PPP1CB	TRIM28
CUL4A	IGF2BP1
ADRB2	IL6R
ING4	CDC34
ERCC3	MRE11
CHIA	BIRC6
NFKB1	PSMD10
PIN1	TP63
UBE2D3	DTX3
UBE2N	MID1
INVS	NPHP1
CEP250	HSPA8
UBA2	RAD23B
RBX1	UBE2G1
DDX5	EP300
STAT6	EHD1
VTN	POMC
PTK2	EEF1G
ECM1	SNRPC
PRMT5	HIST1H4F
POLR3F	RIF1
NR1H2	UBE2D1
RNF2	PPP6C
ENO1	NCL
MORF4L1	MORF4L1
PPP1CA	KIF18A
SNAI2	KDM1A
ARRB1	TP53
SNRNP200	TRA2B
UBE3A	HERC2
HNRNPU	RBM22
DAXX	HSPB1
BAG3	MCM7
ADRB2	GNAT2
MAP2K1	MAP2K6
ZFP36	TRAF2
EGFR	SNX9
BTRC	SIRT2
TSC2	RAB5A
CUL3	TUBB
KPNB1	CERS2
SRRT	SUMO2
SF3A1	PRPF6
EED	RBBP4
MAPK7	RAF1
CCNB1	HNRNPLL
TSG101	CBY1
MAGOH	XAB2
RAB7A	RAB5A
CSNK2A1	PAFAH1B1
PLCE1	PLCG2
CSNK2A1	HDAC2
CALM1	PRDX1
MAP3K1	RPS27L
MYH9	PPIA
AGO2	MTA2
FBXW11	BTRC
CDKN1A	SET
POT1	BAG3
RNF11	IKBKG
HSP90AB1	AARS
SYTL5	RAB6A
TSC1	TSC1
PDGFRB	PTPN1
SQSTM1	TRIM21
DYRK2	HNRNPU
PRMT5	SMARCD3
ECPAS	TUBB
ITPR1	CCNB1
GSK3A	TP53
DYNC1H1	TPD52
ATF2	DDX39B
CPSF1	HMOX1
PTEN	ANG
HUWE1	UBE2D1
VHL	PCGF2
HCFC1	SIN3A
NCOR2	RARB
PSEN1	RHEB
FN1	UBE2M
EGFR	HGS
RBBP6	CPSF1
HES1	KAT2B
SRPK2	ERCC3
CAND1	RBM14
PRKACA	CCDC88A
CLIC4	CRKL
DIXDC1	ULK2
LHX4	ABI1
SLU7	RBM15
RPS6KB2	RPS19
EP300	MCM4
CUL1	KRT1
MRE11	PRMT1
RBX1	RPS6KB1
CDK2	SSBP1
APP	THAP1
4-Mar	UBE2H
SRP54	DDX20
USP1	USP4
ING3	RBX1
EXOSC9	ZNF106
FN1	RPS3
SIRT1	PIP5K1A
MAD2L1	APC
DHX9	CRNKL1
UCHL5	PSMC3
VCAM1	PRMT5
TOPORS	GTF2I
SDCBP	FADD
SUPT3H	MED13
TIPIN	MCM6
UBE2D2	UBE3A
MYH9	STOM
MAPK3	SP3
HSPA2	HSPA5
TNIK	SPTBN1
SUPT3H	TADA3
CUL3	MAPKAPK2
OTUB2	TRAF3
RNF2	ZC3HAV1
ELP2	USP34
XRCC6	MAPK13
KIF2A	TMPRSS3
SCRIB	MAPK1
CUL3	TIMM50
PPP5C	HSPA4
GRB2	KCNQ1
PFDN5	SP1
TNPO3	SRSF1
DYRK2	PCMT1
YAP1	ARFIP1
RPS14	RPS6
MTOR	AKT1S1
APC	RILPL1
RUVBL2	TNIK
EEF1D	DGCR8
CUL3	KIF13B
HSPA8	UCHL5
NCOA2	UBR5
NUDT21	RBM15
CALM1	IQCB1
USP7	PPM1G
STOM	RUVBL1
SON	SNIP1
EMD	GIGYF2
RPS6KB2	EP300
CPSF2	TAF6
MEF2A	SUMO1
FN1	PRDX1
NCL	RPS26
SLU7	HNRNPH1
CUL4B	HNRNPH1
HDAC11	THRAP3
U2AF2	PTBP1
ARHGEF4	RHOA
RBPJ	TFAP4
SOD1	CAT
ROBO1	SLIT2
CAND1	HIST2H4A
MLH1	SQSTM1
CEP152	PCNT
ARF6	IPO11
S100A16	APP
GOT1	HPRT1
RAD50	CHAMP1
LIMA1	FLNB
MAPK8IP2	MAPK8
STUB1	CFLAR
HDAC5	TUBB
BCOR	HDAC1
RXRB	AFF4
RPS13	RPS15A
MBIP	TADA2A
ABI2	ABI2
H2AFX	ARHGEF4
XAB2	THOC6
TRIM13	SQSTM1
APC	KRT9
MALT1	TAB2
MBD3	HDAC1
SF3B1	PRKDC
COPS5	EIF2S1
HSPB1	GLO1
PPP4C	IKBKE
GTF2H1	RAD23B
CTNNA1	TJP1
VCP	SERPINA1
PTEN	CALM1
AQP5	HNRNPK
LRRK2	FADD
AHR	TAF4
ITPR1	VCP
KPNB1	PTPN2
RBPJ	NFKBIA
SUMO3	PIAS1
UBE2V1	CHORDC1
TERF2	PLOD1
PABPC1	ORC4
HSP90AA1	ASH2L
TINF2	TUBB
CDH1	KRT9
YWHAB	YWHAB
PPP1CA	TP53BP2
NAPA	RTN4
MST1R	MST1R
APC	PTPN13
COPS5	HIST2H4B
TIRAP	TICAM1
GTF2A2	TAF4
MAP3K3	GAB1
FZR1	RBBP8
STAT3	HCK
MAPK1	RPS6KB1
VPS18	VCP
EPHA2	TNFAIP1
PARP1	NCL
DDB1	TPM2
LUC7L3	EIF4A3
VDR	PSMC5
PITX1	TRIM23
ING1	BRMS1
POU5F1	YBX1
FN1	PPP2CA
INTS7	BRCA2
TXN	ARHGDIA
EHD2	PRKCD
ECPAS	VPS26A
DDX39B	HNRNPLL
PLPP3	BCAR1
LIMA1	ANXA2
ARRB1	CALM3
RNPS1	ZNF473
TARDBP	HSPH1
CUL4A	PIAS1
CUL3	PCMT1
HDAC1	WDR5
ARRB1	ARRB1
DLG4	MDM2
ITPR1	PPP3CA
MAPK8IP2	IL1B
UBE2D4	RNF111
GRB2	PFDN5
GRSF1	ATP5F1B
BUB3	HK2
LIG4	ENO1
HNRNPK	PRPF31
BECN1	GSPT1
NSF	SNAP23
SMAD7	MAP2K3
KIFAP3	APC
OBSL1	RBM15
LYN	BCAR1
CLTC	ATP6V0D1
AHSA1	CKAP5
TRAP1	TLR1
RYK	NCKAP1
MRE11	BLM
CTBP1	CDC23
NOTCH2	JAG2
TAF4	CDC16
VANGL2	YWHAG
KAT6B	BRPF3
VAPA	ATP6V0D1
FLNA	F3
CTNNB1	MAPK9
KMT2A	LEO1
ARNTL	SUMO2
PRKCA	PRKCA
RPS3A	RPS3
RARG	RARG
TRAF6	BIRC2
CBLB	UBASH3A
PTGS2	PTGS2
BID	TNFRSF10B
NDEL1	TUBG1
CAMK2G	FLNA
GNA11	BDKRB2
EGFR	SPTLC1
NOTCH1	WWTR1
LYN	FRS2
SYNCRIP	PTGR2
MAPK3	PFKM
OBSL1	XRCC5
AHSA1	PRMT5
TP53	IRF7
SKP1	RUVBL1
VCP	SON
TRIM23	UBE2D1
PRKCB	RBCK1
DNAJB6	ARRB1
REL	RPS13
TRAF6	NASP
RAF1	ARAF
FLNB	SEPTIN9
MCM2	H2AFX
ZBTB16	MTA2
EIF3E	TRAF6
MAPK1	MAP2K1
NDRG1	GSK3A
HCK	PIK3CB
TP53	HNRNPA1
HNRNPA1	LCK
RBMX	RBMX
CREBBP	SMAD3
PRKCZ	STK11
YAP1	HSPH1
ALKBH2	SLX4
PAXIP1	ASH2L
PRPF6	RBM22
MED1	MED30
BARD1	LGALS3
HSPB1	DFFA
HSP90AA1	MAP2K5
NDUFS5	NDUFS1
TRIB3	FN1
XPO1	RNPS1
DNMT3B	HDAC1
H2AFX	MRE11
APC	MYO10
OS9	EGLN1
DNM2	HMGB1
MAGOH	CRNKL1
THOC6	SART1
CUL4B	USP15
SYNCRIP	KLF16
TNFSF13	TNFRSF14
RAB5A	COL1A2
USP7	UBE2E1
RARB	PSMC5
OBSL1	DDX5
LRRK2	HSPA9
TP53	ATP5F1A
SMAD2	ATP5ME
MYC	CUL4A
NPM1	CPSF2
FN1	EIF3A
CDKN2A	HSPA4
ACO2	ATP5PF
EP300	TERF2
SUMO2	UBA2
